naptan_id,station_name,modes,zone,lat,lon
9400ZZLUGFD,Greenford,tube,4,51.542424,-0.34605
9400ZZLUGGH,Grange Hill,"bus, tube",4,51.613378,0.092066
9400ZZLUGGN,Golders Green,tube,3,51.572259,-0.194039
9400ZZLUGHK,Goldhawk Road,tube,2,51.502005,-0.226715
9400ZZLUGPK,Green Park,tube,1,51.506947,-0.142787
9400ZZLUGPS,Great Portland Street,tube,1,51.52384,-0.144262
9400ZZLUGTH,Gants Hill,tube,4,51.576544,0.066185
9400ZZLUGTR,Gloucester Road,tube,1,51.494316,-0.182658
9400ZZLUHAI,Highbury & Islington,tube,2,51.54635,-0.103324
9400ZZLUHAW,Harrow & Wealdstone,tube,5,51.592268,-0.335217
9400ZZLUHBN,Holborn,tube,1,51.51758,-0.120475
9400ZZLUHBT,High Barnet,tube,5,51.650541,-0.194298
9400ZZLUHCH,Hornchurch,tube,6,51.554093,0.219116
9400ZZLUHCL,Hendon Central,tube,3,51.583301,-0.226424
9400ZZLUHGD,Hillingdon,tube,6,51.553715,-0.449828
9400ZZLUHGR,Hanger Lane,tube,3,51.530177,-0.292704
9400ZZLUHGT,Highgate,tube,3,51.577532,-0.145857
9400ZZLUHLT,Hainault,tube,4,51.603659,0.093482
9400ZZLUHNX,Hatton Cross,tube,5,51.466747,-0.423191
9400ZZLUHOH,Harrow-on-the-Hill,tube,5,51.579195,-0.337225
9400ZZLUHR4,Heathrow Terminal 4,"elizabeth-line, tube",6,51.458524,-0.445771
9400ZZLUHR5,Heathrow Terminal 5,"elizabeth-line, national-rail, tube",6,51.470052,-0.49056
9400ZZLUHRC2,Heathrow Terminals 1-2-3,tube,6,51.471352,-0.45229
9400ZZLUHSC,Hammersmith (H&C Line),tube,2,51.493535,-0.225013
9400ZZLUHSD,Hammersmith (Dist&Picc Line),tube,2,51.4923,-0.22362
9400ZZLUHSK,High Street Kensington,tube,1,51.501055,-0.192792
9400ZZLUHSN,Harlesden,tube,3,51.53631,-0.257883
9400ZZLUHTD,Hampstead,tube,2,51.556632,-0.178487
9400ZZLUHWC,Hounslow Central,tube,4,51.471295,-0.366578
9400ZZLUHWE,Hounslow East,tube,4,51.473213,-0.356474
9400ZZLUHWT,Hounslow West,tube,5,51.473469,-0.386544
9400ZZLUHWY,Holloway Road,tube,2,51.552697,-0.113244
9400ZZLUICK,Ickenham,tube,6,51.561992,-0.442001
9400ZZLUKBN,Kilburn,tube,2,51.546803,-0.204105
9400ZZLUKBY,Kingsbury,tube,4,51.584845,-0.27879
9400ZZLUKEN,Kenton,tube,4,51.581756,-0.31691
9400ZZLUKNB,Knightsbridge,"bus, tube",1,51.501669,-0.160508
9400ZZLUKNG,Kennington,tube,1,51.488337,-0.105963
9400ZZLUKOY,Kensington (Olympia),tube,2,51.497624,-0.210015
9400ZZLUKPK,Kilburn Park,tube,2,51.534979,-0.194232
9400ZZLUKSH,Kentish Town,tube,2,51.550312,-0.140733
9400ZZLUKSL,Kensal Green,tube,2,51.530539,-0.225016
9400ZZLUKSX,King's Cross St. Pancras,tube,1,51.530663,-0.123194
9400ZZLUKWG,Kew Gardens,tube,3,51.477058,-0.285241
9400ZZLULAD,Ladbroke Grove,tube,2,51.517449,-0.210391
9400ZZLULBN,Lambeth North,tube,1,51.498808,-0.112315
9400ZZLULGN,Loughton,"bus, tube",6,51.641443,0.055476
9400ZZLULGT,Lancaster Gate,tube,1,51.511723,-0.175494
9400ZZLULNB,London Bridge,tube,1,51.505721,-0.088873
9400ZZLULNB3,London Bridge Station,tube,1,51.505021,-0.08955
9400ZZLULRD,Latimer Road,tube,2,51.513389,-0.217799
9400ZZLULSQ,Leicester Square,tube,1,51.511386,-0.128426
9400ZZLULVT,Liverpool Street,"elizabeth-line, tube",1,51.517372,-0.083182
9400ZZLULYN,Leyton,tube,3,51.556589,-0.005523
9400ZZLULYS,Leytonstone,tube,3,51.568324,0.008194
9400ZZLUMBA,Marble Arch,tube,1,51.513424,-0.158953
9400ZZLUMDN,Morden,tube,4,51.402142,-0.194839
9400ZZLUMED,Mile End,tube,2,51.525122,-0.03364
9400ZZLUMGT,Moorgate,tube,1,51.518176,-0.088322
9400ZZLUMHL,Mill Hill East,tube,4,51.608229,-0.209986
9400ZZLUMMT,Monument,tube,1,51.5107,-0.085969
9400ZZLUMRH,Manor House,tube,2,51.570738,-0.096118
9400ZZLUMSH,Mansion House,tube,1,51.512117,-0.094009
9400ZZLUMTC,Mornington Crescent,tube,2,51.534679,-0.138789
9400ZZLUMVL,Maida Vale,tube,2,51.529777,-0.185758
9400ZZLUMYB,Marylebone,tube,1,51.522322,-0.163207
9400ZZLUNAN,North Acton,tube,2,51.523524,-0.259755
9400ZZLUNBP,Newbury Park,tube,4,51.575726,0.090004
9400ZZLUNDN,Neasden,tube,3,51.553986,-0.249837
9400ZZLUNEN,North Ealing,tube,3,51.517505,-0.288868
9400ZZLUNFD,Northfields,tube,3,51.499319,-0.314719
9400ZZLUNHA,North Harrow,tube,5,51.584872,-0.362408
9400ZZLUNHG,Notting Hill Gate,tube,1,51.509128,-0.196104
9400ZZLUNHT,Northolt,tube,5,51.548236,-0.368699
9400ZZLUNKP,Northwick Park,tube,4,51.578481,-0.318056
9400ZZLUNOW,Northwood,tube,6,51.611053,-0.423829
9400ZZLUNWH,Northwood Hills,tube,6,51.600572,-0.409464
9400ZZLUNWY,North Wembley,tube,4,51.562551,-0.304
9400ZZLUOAK,Oakwood,tube,5,51.647725,-0.132168
9400ZZLUODS,Old Street,tube,1,51.525864,-0.08777
9400ZZLUODS2,Old Street Station,tube,1,51.525456,-0.087527
